Date,Open,High,Low,Close,Adj Close,Volume
08-05-2007,11760,11860,11580,11640,8943.217773,30470000
09-05-2007,11600,11720,11480,11600,8912.486328,19446550
10-05-2007,11700,11720,11500,11500,8835.654297,21284800
11-05-2007,11500,11540,11380,11460,8804.919922,18063550
14-05-2007,11500,11560,11400,11480,8820.285156,15178550
15-05-2007,11480,11500,11380,11460,8804.919922,16629900
16-05-2007,11380,11480,11380,11400,8758.819336,13728550
17-05-2007,11380,11460,11240,11320,8697.359375,32991650
18-05-2007,11200,11220,10960,11080,8512.960938,44367750
21-05-2007,10940,11160,10920,11040,8482.227539,27085250
22-05-2007,11120,11340,11120,11300,8681.991211,40901450
23-05-2007,11320,11360,11180,11240,8635.891602,18800050
25-05-2007,11000,11140,11000,11040,8482.227539,30527900
28-05-2007,11000,11020,10920,10960,8420.760742,19714700
29-05-2007,10920,10940,10700,10740,8251.730469,34405050
30-05-2007,10740,10740,10500,10640,8174.899902,39442700
31-05-2007,10720,10840,10640,10700,8220.998047,32327800
01-06-2007,10920,11180,10860,11120,8543.694336,48280700
04-06-2007,11320,11560,11260,11440,8789.553711,54176150
05-06-2007,11500,11640,11380,11420,8774.186523,30539250
07-06-2007,11180,11400,11180,11380,8743.455078,24129700
08-06-2007,11240,11520,11220,11440,8789.553711,33649350
11-06-2007,11560,11700,11440,11560,8881.751953,33486900
12-06-2007,11440,11660,11440,11560,8881.751953,17372350
13-06-2007,11500,11540,11340,11460,8804.919922,17896500
14-06-2007,11600,11620,11460,11620,8927.850586,31985700
15-06-2007,11560,11580,11420,11480,8820.285156,24082300
18-06-2007,11600,11800,11520,11780,9050.78125,34236550
19-06-2007,11880,11880,11660,11700,8989.319336,19075450
20-06-2007,11740,11760,11480,11540,8866.384766,28625550
21-06-2007,11720,11840,11720,11780,9050.78125,46066600
22-06-2007,11920,12020,11760,11820,9081.513672,41545600
25-06-2007,11760,11940,11700,11760,9035.416016,19727450
26-06-2007,11820,11860,11660,11760,9035.416016,19325000
27-06-2007,11680,11720,11580,11620,8927.850586,17356150
28-06-2007,11620,11700,11500,11560,8889.402344,20486950
29-06-2007,11560,11580,11320,11320,8704.847656,27230000
02-07-2007,11560,11580,11320,11320,8704.847656,28822950
03-07-2007,11440,11500,11360,11420,8781.743164,25979550
04-07-2007,11460,11680,11440,11560,8889.402344,21507800
05-07-2007,11740,11860,11640,11820,9089.336914,33418800
